State or Territory,District or Representation Type,Family name,Given name,District ,Party ,Office Room ,Phone 
Massachusetts,1,Neal,Richard E.,Massachusetts 1st ,D ,372 CHOB ,(202) 225-5601 
Colorado,2,Neguse,Joe,Colorado 2nd ,D ,1419 LHOB ,(202) 225-2161 
Texas,22,Nehls,Troy E.,Texas 22nd ,R ,1104 LHOB ,(202) 225-5951 
Washington,4,Newhouse,Dan,Washington 4th ,R ,504 CHOB ,(202) 225-5816 
Illinois,3,Newman,Marie,Illinois 3rd ,D ,1022 LHOB ,(202) 225-5701 
New Jersey,1,Norcross,Donald,New Jersey 1st ,D ,2427 RHOB ,(202) 225-6501 
South Carolina,5,Norman,Ralph,South Carolina 5th ,R ,569 CHOB ,(202) 225-5501 
District of Columbia,Delegate,Norton,Eleanor Holmes,District of Columbia Delegate ,D ,2136 RHOB ,(202) 225-8050 
California,22,Nunes,Devin,California 22nd ,R ,1013 LHOB ,(202) 225-2523 
Arizona,1,O'Halleran,Tom,Arizona 1st ,D ,318 CHOB ,(202) 225-3361 
California,8,Obernolte,Jay,California 8th ,R ,1029 LHOB ,(202) 225-5861 
New York,14,Ocasio-Cortez,Alexandria,New York 14th ,D ,216 CHOB ,(202) 225-3965 
Minnesota,5,Omar,Ilhan,Minnesota 5th ,D ,1730 LHOB ,(202) 225-4755 
Utah,4,Owens,Burgess,Utah 4th ,R ,1039 LHOB ,(202) 225-3011 
Mississippi,4,Palazzo,Steven,Mississippi 4th ,R ,2349 RHOB ,(202) 225-5772 
New Jersey,6,Pallone Jr.,Frank,New Jersey 6th ,D ,2107 RHOB ,(202) 225-4671 
Alabama,6,Palmer,Gary,Alabama 6th ,R ,170 CHOB ,(202) 225-4921 
California,20,Panetta,Jimmy,California 20th ,D ,406 CHOB ,(202) 225-2861 
New Hampshire,1,Pappas,Chris,New Hampshire 1st ,D ,319 CHOB ,(202) 225-5456 
New Jersey,9,Pascrell Jr.,Bill,New Jersey 9th ,D ,2409 RHOB ,(202) 225-5751 
New Jersey,10,Payne Jr.,Donald,New Jersey 10th ,D ,106 CHOB ,(202) 225-3436 
California,12,Pelosi,Nancy,California 12th ,D ,1236 LHOB ,(202) 225-4965 
Indiana,6,Pence,Greg,Indiana 6th ,R ,211 CHOB ,(202) 225-3021 
Colorado,7,Perlmutter,Ed,Colorado 7th ,D ,1226 LHOB ,(202) 225-2645 
Pennsylvania,10,Perry,Scott,Pennsylvania 10th ,R ,2160 RHOB ,(202) 225-5836 
California,52,Peters,Scott,California 52nd ,D ,1201 LHOB ,(202) 225-0508 
Texas,11,Pfluger,August,Texas 11th ,R ,1531 LHOB ,(202) 225-3605 
Minnesota,3,Phillips,Dean,Minnesota 3rd ,D ,2452 RHOB ,(202) 225-2871 
Maine,1,Pingree,Chellie,Maine 1st ,D ,2162 RHOB ,(202) 225-6116 
Virgin Islands,Delegate,Plaskett,Stacey,Virgin Islands Delegate ,D ,2404 RHOB ,(202) 225-1790 
Wisconsin,2,Pocan,Mark,Wisconsin 2nd ,D ,1727 LHOB ,(202) 225-2906 
California,45,Porter,Katie,California 45th ,D ,1117 LHOB ,(202) 225-5611 
Florida,8,Posey,Bill,Florida 8th ,R ,2150 RHOB ,(202) 225-3671 
Massachusetts,7,Pressley,Ayanna,Massachusetts 7th ,D ,1108 LHOB ,(202) 225-5111 
North Carolina,4,Price,David,North Carolina 4th ,D ,2108 RHOB ,(202) 225-1784 
Illinois,5,Quigley,Mike,Illinois 5th ,D ,2078 RHOB ,(202) 225-4061 
American Samoa,Delegate,Radewagen,Amata,American Samoa Delegate ,R ,1339 LHOB ,(202) 225-8577 
Maryland,8,Raskin,Jamie,Maryland 8th ,D ,2242 RHOB ,(202) 225-5341 
New York,23,Reed,Tom,New York 23rd ,R ,1203 LHOB ,(202) 225-3161 
Pennsylvania,14,Reschenthaler,Guy,Pennsylvania 14th ,R ,409 CHOB ,(202) 225-2065 
New York,4,Rice,Kathleen,New York 4th ,D ,2435 RHOB ,(202) 225-5516 
South Carolina,7,Rice,Tom,South Carolina 7th ,R ,460 CHOB ,(202) 225-9895 
Washington,5,Rodgers,Cathy McMorris,Washington 5th ,R ,1035 LHOB ,(202) 225-2006 
Kentucky,5,Rogers,Harold,Kentucky 5th ,R ,2406 RHOB ,(202) 225-4601 
Alabama,3,Rogers,Mike,Alabama 3rd ,R ,2469 RHOB ,(202) 225-3261 
Tennessee,6,Rose,John W.,Tennessee 6th ,R ,1124 LHOB ,(202) 225-4231 
Montana,At Large,Rosendale,Matthew M.,Montana At Large ,R ,1037 LHOB ,(202) 225-3211 
North Carolina,2,Ross,Deborah K.,North Carolina 2nd ,D ,1208 LHOB ,(202) 225-3032 
North Carolina,7,Rouzer,David,North Carolina 7th ,R ,2333 RHOB ,(202) 225-2731 
Texas,21,Roy,Chip,Texas 21st ,R ,1005 LHOB ,(202) 225-4236 
California,40,Roybal-Allard,Lucille,California 40th ,D ,2083 RHOB ,(202) 225-1766 
California,36,Ruiz,Raul,California 36th ,D ,2342 RHOB ,(202) 225-5330 
Maryland,2,Ruppersberger,C. A. Dutch,Maryland 2nd ,D ,2206 RHOB ,(202) 225-3061 
Illinois,1,Rush,Bobby L.,Illinois 1st ,D ,2188 RHOB ,(202) 225-4372 
Florida,4,Rutherford,John,Florida 4th ,R ,1711 LHOB ,(202) 225-2501 
Ohio,13,Ryan,Tim,Ohio 13th ,D ,1126 LHOB ,(202) 225-5261 
Northern Mariana Islands,Delegate,Sablan,Gregorio,Northern Mariana Islands Delegate ,D ,2267 RHOB ,(202) 225-2646 
Florida,27,Salazar,Maria Elvira,Florida 27th ,R ,1616 LHOB ,(202) 225-3931 
Guam,Delegate,San Nicolas,Michael F. Q.,Guam Delegate ,D ,1632 LHOB ,(202) 225-1188 
California,38,Sánchez,Linda,California 38th ,D ,2329 RHOB ,(202) 225-6676 
Maryland,3,Sarbanes,John P.,Maryland 3rd ,D ,2370 RHOB ,(202) 225-4016 
Louisiana,1,Scalise,Steve,Louisiana 1st ,R ,2049 RHOB ,(202) 225-3015 
Pennsylvania,5,Scanlon,Mary Gay,Pennsylvania 5th ,D ,1227 LHOB ,(202) 225-2011 
Illinois,9,Schakowsky,Jan,Illinois 9th ,D ,2367 RHOB ,(202) 225-2111 
California,28,Schiff,Adam,California 28th ,D ,2309 RHOB ,(202) 225-4176 
Illinois,10,Schneider,Bradley,Illinois 10th ,D ,300 CHOB ,(202) 225-4835 
Oregon,5,Schrader,Kurt,Oregon 5th ,D ,2431 RHOB ,(202) 225-5711 
Washington,8,Schrier,Kim,Washington 8th ,D ,1123 LHOB ,(202) 225-7761 
Arizona,6,Schweikert,David,Arizona 6th ,R ,304 CHOB ,(202) 225-2190 
Georgia,8,Scott,Austin,Georgia 8th ,R ,2417 RHOB ,(202) 225-6531 
Georgia,13,Scott,David,Georgia 13th ,D ,468 CHOB ,(202) 225-2939 
Virginia,3,Scott,Robert C.,Virginia 3rd ,D ,2328 RHOB ,(202) 225-8351 
Texas,17,Sessions,Pete,Texas 17th ,R ,2204 RHOB ,(202) 225-6105 
Alabama,7,Sewell,Terri A.,Alabama 7th ,D ,2201 RHOB ,(202) 225-2665 
California,30,Sherman,Brad,California 30th ,D ,2181 RHOB ,(202) 225-5911 
New Jersey,11,Sherrill,Mikie,New Jersey 11th ,D ,1414 LHOB ,(202) 225-5034 
Idaho,2,Simpson,Mike,Idaho 2nd ,R ,2084 RHOB ,(202) 225-5531 
New Jersey,8,Sires,Albio,New Jersey 8th ,D ,2268 RHOB ,(202) 225-7919 
Michigan,8,Slotkin,Elissa,Michigan 8th ,D ,1210 LHOB ,(202) 225-4872 
Washington,9,Smith,Adam,Washington 9th ,D ,2264 RHOB ,(202) 225-8901 
Nebraska,3,Smith,Adrian,Nebraska 3rd ,R ,502 CHOB ,(202) 225-6435 
New Jersey,4,Smith,Chris,New Jersey 4th ,R ,2373 RHOB ,(202) 225-3765 
Missouri,8,Smith,Jason,Missouri 8th ,R ,2418 RHOB ,(202) 225-4404 
Pennsylvania,11,Smucker,Lloyd,Pennsylvania 11th ,R ,302 CHOB ,(202) 225-2411 
Florida,9,Soto,Darren,Florida 9th ,D ,2353 RHOB ,(202) 225-9889 
Virginia,7,Spanberger,Abigail,Virginia 7th ,D ,1431 LHOB ,(202) 225-2815 
Indiana,5,Spartz,Victoria,Indiana 5th ,R ,1523 LHOB ,(202) 225-2276 
California,14,Speier,Jackie,California 14th ,D ,2465 RHOB ,(202) 225-3531 
New Mexico,1,Stansbury,Melanie Ann,New Mexico 1st ,D ,1421 LHOB ,(202) 225-6316 
Arizona,9,Stanton,Greg,Arizona 9th ,D ,207 CHOB ,(202) 225-9888 
Minnesota,8,Stauber,Pete,Minnesota 8th ,R ,461 CHOB ,(202) 225-6211 
California,48,Steel,Michelle,California 48th ,R ,1113 LHOB ,(202) 225-2415 
New York,21,Stefanik,Elise,New York 21st ,R ,2211 RHOB ,(202) 225-4611 
Wisconsin,1,Steil,Bryan,Wisconsin 1st ,R ,1526 LHOB ,(202) 225-3031 
Florida,17,Steube,W. Gregory,Florida 17th ,R ,2457 RHOB ,(202) 225-5792 
Michigan,11,Stevens,Haley,Michigan 11th ,D ,1510 LHOB ,(202) 225-8171 
Utah,2,Stewart,Chris,Utah 2nd ,R ,166 CHOB ,(202) 225-9730 
Ohio,15,Stivers,Steve,Ohio 15th ,- Vacancy ,2234 RHOB ,(202) 225-2015 
Washington,10,Strickland,Marilyn,Washington 10th ,D ,1004 LHOB ,(202) 225-9740 
New York,3,Suozzi,Thomas,New York 3rd ,D ,407 CHOB ,(202) 225-3335 
California,15,Swalwell,Eric,California 15th ,D ,174 CHOB ,(202) 225-5065 
California,41,Takano,Mark,California 41st ,D ,420 CHOB ,(202) 225-2305 
Texas,3,Taylor,Van,Texas 3rd ,R ,1404 LHOB ,(202) 225-4201 
New York,22,Tenney,Claudia,New York 22nd ,R ,1410 LHOB ,(202) 225-3665 
Mississippi,2,Thompson,Bennie G.,Mississippi 2nd ,D ,2466 RHOB ,(202) 225-5876 
Pennsylvania,15,Thompson,Glenn,Pennsylvania 15th ,R ,400 CHOB ,(202) 225-5121 
California,5,Thompson,Mike,California 5th ,D ,268 CHOB ,(202) 225-3311 
Wisconsin,7,Tiffany,Thomas P.,Wisconsin 7th ,R ,1719 LHOB ,(202) 225-3365 
South Carolina,4,Timmons,William,South Carolina 4th ,R ,267 CHOB ,(202) 225-6030 
Nevada,1,Titus,Dina,Nevada 1st ,D ,2464 RHOB ,(202) 225-5965 
Michigan,13,Tlaib,Rashida,Michigan 13th ,D ,1628 LHOB ,(202) 225-5126 
New York,20,Tonko,Paul D.,New York 20th ,D ,2369 RHOB ,(202) 225-5076 
California,35,Torres,Norma,California 35th ,D ,2227 RHOB ,(202) 225-6161 
New York,15,Torres,Ritchie,New York 15th ,D ,317 CHOB ,(202) 225-4361 
Massachusetts,3,Trahan,Lori,Massachusetts 3rd ,D ,2439 RHOB ,(202) 225-3411 
Maryland,6,Trone,David,Maryland 6th ,D ,1110 LHOB ,(202) 225-2721 
Ohio,10,Turner,Michael,Ohio 10th ,R ,2082 RHOB ,(202) 225-6465 
Illinois,14,Underwood,Lauren,Illinois 14th ,D ,1130 LHOB ,(202) 225-2976 
Michigan,6,Upton,Fred,Michigan 6th ,R ,2183 RHOB ,(202) 225-3761 
California,21,Valadao,David G.,California 21st ,R ,1728 LHOB ,(202) 225-4695 
New Jersey,2,Van Drew,Jefferson,New Jersey 2nd ,R ,2447 RHOB ,(202) 225-6572 
Texas,24,Van Duyne,Beth,Texas 24th ,R ,1337 LHOB ,(202) 225-6605 
California,51,Vargas,Juan,California 51st ,D ,2244 RHOB ,(202) 225-8045 
Texas,33,Veasey,Marc,Texas 33rd ,D ,2348 RHOB ,(202) 225-9897 
Texas,34,Vela,Filemon,Texas 34th ,D ,307 CHOB ,(202) 225-9901 
New York,7,Velázquez,Nydia M.,New York 7th ,D ,2302 RHOB ,(202) 225-2361 
Missouri,2,Wagner,Ann,Missouri 2nd ,R ,2350 RHOB ,(202) 225-1621 
Michigan,7,Walberg,Tim,Michigan 7th ,R ,2266 RHOB ,(202) 225-6276 
Indiana,2,Walorski,Jackie,Indiana 2nd ,R ,466 CHOB ,(202) 225-3915 
Florida,6,Waltz,Michael,Florida 6th ,R ,213 CHOB ,(202) 225-2706 
Florida,23,Wasserman Schultz,Debbie,Florida 23rd ,D ,1114 LHOB ,(202) 225-7931 
California,43,Waters,Maxine,California 43rd ,D ,2221 RHOB ,(202) 225-2201 
New Jersey,12,Watson Coleman,Bonnie,New Jersey 12th ,D ,168 CHOB ,(202) 225-5801 
Texas,14,Weber,Randy,Texas 14th ,R ,107 CHOB ,(202) 225-2831 
Florida,11,Webster,Daniel,Florida 11th ,R ,2184 RHOB ,(202) 225-1002 
Vermont,At Large,Welch,Peter,Vermont At Large ,D ,2187 RHOB ,(202) 225-4115 
Ohio,2,Wenstrup,Brad,Ohio 2nd ,R ,2419 RHOB ,(202) 225-3164 
Arkansas,4,Westerman,Bruce,Arkansas 4th ,R ,202 CHOB ,(202) 225-3772 
Virginia,10,Wexton,Jennifer,Virginia 10th ,D ,1217 LHOB ,(202) 225-5136 
Pennsylvania,7,Wild,Susan,Pennsylvania 7th ,D ,1027 LHOB ,(202) 225-6411 
Georgia,5,Williams,Nikema,Georgia 5th ,D ,1406 LHOB ,(202) 225-3801 
Texas,25,Williams,Roger,Texas 25th ,R ,1708 LHOB ,(202) 225-9896 
Florida,24,Wilson,Frederica,Florida 24th ,D ,2445 RHOB ,(202) 225-4506 
South Carolina,2,Wilson,Joe,South Carolina 2nd ,R ,1436 LHOB ,(202) 225-2452 
Virginia,1,Wittman,Robert J.,Virginia 1st ,R ,2055 RHOB ,(202) 225-4261 
Arkansas,3,Womack,Steve,Arkansas 3rd ,R ,2412 RHOB ,(202) 225-4301 
Kentucky,3,Yarmuth,John A.,Kentucky 3rd ,D ,402 CHOB ,(202) 225-5401 
Alaska,At Large,Young,Don,Alaska At Large ,R ,2314 RHOB ,(202) 225-5765 
New York,1,Zeldin,Lee,New York 1st ,R ,2441 RHOB ,(202) 225-3826 
